Output_audio\part_from_join.mp3
fr=0;to=100;avr=50;rms=1682
fr=100;to=200;avr=150;rms=1830
fr=200;to=300;avr=250;rms=165
fr=300;to=400;avr=350;rms=326
fr=400;to=500;avr=450;rms=300
fr=500;to=600;avr=550;rms=560
fr=600;to=700;avr=650;rms=562
fr=700;to=800;avr=750;rms=929
fr=800;to=900;avr=850;rms=415
fr=900;to=1000;avr=950;rms=595
fr=1000;to=1100;avr=1050;rms=40
fr=1100;to=1200;avr=1150;rms=42
fr=1200;to=1300;avr=1250;rms=16
fr=1300;to=1400;avr=1350;rms=10
fr=1400;to=1500;avr=1450;rms=11
fr=1500;to=1600;avr=1550;rms=12
fr=1600;to=1700;avr=1650;rms=12
fr=1700;to=1800;avr=1750;rms=125
fr=1800;to=1900;avr=1850;rms=87
fr=1900;to=2000;avr=1950;rms=90
fr=2000;to=2100;avr=2050;rms=7
fr=2100;to=2200;avr=2150;rms=7
fr=2200;to=2300;avr=2250;rms=6
fr=2300;to=2400;avr=2350;rms=0
fr=2400;to=2500;avr=2450;rms=0
fr=2500;to=2600;avr=2550;rms=0
fr=2600;to=2700;avr=2650;rms=0
fr=2700;to=2800;avr=2750;rms=0
fr=2800;to=2900;avr=2850;rms=0
fr=2900;to=3000;avr=2950;rms=0
fr=3000;to=3100;avr=3050;rms=0
fr=3100;to=3200;avr=3150;rms=0
fr=3200;to=3300;avr=3250;rms=0
fr=3300;to=3400;avr=3350;rms=0
fr=3400;to=3500;avr=3450;rms=0
fr=3500;to=3600;avr=3550;rms=0
fr=3600;to=3700;avr=3650;rms=0
fr=3700;to=3800;avr=3750;rms=0
fr=3800;to=3900;avr=3850;rms=0
fr=3900;to=4000;avr=3950;rms=0
fr=4000;to=4100;avr=4050;rms=0
fr=4100;to=4200;avr=4150;rms=0
fr=4200;to=4300;avr=4250;rms=0
fr=4300;to=4400;avr=4350;rms=0
fr=4400;to=4500;avr=4450;rms=0
fr=4500;to=4600;avr=4550;rms=0
fr=4600;to=4700;avr=4650;rms=0
fr=4700;to=4800;avr=4750;rms=0
fr=4800;to=4900;avr=4850;rms=0
fr=4900;to=5000;avr=4950;rms=0
fr=5000;to=5100;avr=5050;rms=0
fr=5100;to=5200;avr=5150;rms=0
fr=5200;to=5300;avr=5250;rms=0
fr=5300;to=5400;avr=5350;rms=0
fr=5400;to=5500;avr=5450;rms=0
fr=5500;to=5600;avr=5550;rms=7
fr=5600;to=5700;avr=5650;rms=10
fr=5700;to=5800;avr=5750;rms=21
fr=5800;to=5900;avr=5850;rms=15
fr=5900;to=6000;avr=5950;rms=13
fr=6000;to=6100;avr=6050;rms=11
fr=6100;to=6200;avr=6150;rms=12
fr=6200;to=6300;avr=6250;rms=11
fr=6300;to=6400;avr=6350;rms=20
fr=6400;to=6500;avr=6450;rms=65
fr=6500;to=6600;avr=6550;rms=129
fr=6600;to=6700;avr=6650;rms=94
fr=6700;to=6800;avr=6750;rms=51
fr=6800;to=6900;avr=6850;rms=3616
fr=6900;to=7000;avr=6950;rms=1606
fr=7000;to=7100;avr=7050;rms=639
fr=7100;to=7200;avr=7150;rms=395
fr=7200;to=7300;avr=7250;rms=5800
fr=7300;to=7400;avr=7350;rms=1774
fr=7400;to=7500;avr=7450;rms=318
fr=7500;to=7600;avr=7550;rms=291
fr=7600;to=7700;avr=7650;rms=44
fr=7700;to=7800;avr=7750;rms=23
fr=7800;to=7900;avr=7850;rms=61
fr=7900;to=8000;avr=7950;rms=534
fr=8000;to=8100;avr=8050;rms=230
fr=8100;to=8200;avr=8150;rms=2089
fr=8200;to=8300;avr=8250;rms=1435
fr=8300;to=8400;avr=8350;rms=65
fr=8400;to=8500;avr=8450;rms=16
fr=8500;to=8600;avr=8550;rms=13
fr=8600;to=8700;avr=8650;rms=11
fr=8700;to=8800;avr=8750;rms=17
fr=8800;to=8900;avr=8850;rms=24
